,Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
0,9600.0,1.0,3.0,2.0,32.0,6.0,110.0,138.0,5.0,2847.0,5298.0,11.0,1692.0,1892.0,7.0,331.0,1080.0,12.0,535.0,1671.0,3.0,4800.0,6799.0,1.0
1,14400.0,2.0,3.0,2.0,30.0,-2.0,0.0,132.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,45.0,0.0,-2.0,136.0,45.0,0.0
2,8100.0,1.0,1.0,2.0,29.0,-1.0,133.0,7.0,-1.0,1700.0,132.0,-1.0,0.0,1541.0,-1.0,751.0,-4.0,-1.0,498.0,747.0,-1.0,381.0,496.0,0.0
3,2700.0,2.0,2.0,1.0,31.0,0.0,104.0,2891.0,0.0,140.0,2864.0,0.0,120.0,2898.0,0.0,40.0,2842.0,0.0,60.0,1187.0,0.0,19.0,1153.0,0.0
4,14500.0,2.0,2.0,1.0,37.0,-2.0,309.0,403.0,-2.0,94.0,309.0,-2.0,381.0,94.0,-2.0,362.0,381.0,-2.0,0.0,362.0,-2.0,116.0,0.0,0.0
5,1300.0,2.0,2.0,2.0,18.0,4.0,120.0,1055.0,1.0,23.0,286.0,9.0,110.0,1288.0,6.0,274.0,816.0,-1.0,0.0,4.0,11.0,147.0,770.0,0.0
6,8300.0,2.0,2.0,2.0,33.0,0.0,200.0,1850.0,0.0,200.0,2019.0,0.0,200.0,2161.0,0.0,180.0,2324.0,0.0,200.0,2465.0,0.0,200.0,2623.0,0.0
7,6400.0,1.0,1.0,2.0,30.0,-1.0,0.0,129.0,-1.0,150.0,-21.0,-1.0,0.0,120.0,0.0,0.0,29.0,0.0,36.0,0.0,-1.0,0.0,36.0,0.0
8,3600.0,2.0,2.0,1.0,38.0,0.0,140.0,3699.0,0.0,133.0,3628.0,0.0,84.0,3229.0,0.0,102.0,2792.0,0.0,120.0,2555.0,0.0,3730.0,1605.0,1.0
9,6300.0,1.0,2.0,1.0,66.0,2.0,624.0,2513.0,9.0,1001.0,1407.0,2.0,69.0,457.0,8.0,1165.0,1695.0,2.0,3317.0,5518.0,11.0,3303.0,3400.0,0.0
10,8000.0,2.0,2.0,2.0,28.0,0.0,120.0,2478.0,0.0,120.0,2533.0,0.0,120.0,2588.0,0.0,100.0,2641.0,0.0,105.0,2673.0,0.0,108.0,2736.0,0.0
11,3300.0,2.0,1.0,2.0,30.0,0.0,78.0,1469.0,0.0,147.0,1523.0,0.0,52.0,1632.0,2.0,0.0,1430.0,2.0,60.0,1307.0,0.0,48.0,1304.0,0.0
12,9500.0,2.0,1.0,1.0,39.0,2.0,0.0,100.0,2.0,0.0,100.0,2.0,0.0,100.0,2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,1.0
13,16800.0,1.0,1.0,2.0,35.0,0.0,602.0,16523.0,0.0,643.0,16561.0,0.0,506.0,16683.0,0.0,2028.0,13934.0,0.0,801.0,11486.0,0.0,405.0,10449.0,0.0
14,6400.0,1.0,1.0,2.0,29.0,-1.0,0.0,22.0,-1.0,28.0,-3.0,-1.0,0.0,25.0,-1.0,26.0,0.0,-1.0,0.0,13.0,0.0,0.0,13.0,0.0
15,11600.0,2.0,1.0,2.0,28.0,-1.0,435.0,1285.0,-1.0,211.0,433.0,-2.0,1303.0,210.0,-1.0,1166.0,1292.0,-1.0,72.0,1140.0,-1.0,455.0,72.0,0.0
