Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
8000,1,2,1,34,-1,187,187,-1,187,187,-1,187,187,-1,187,187,-1,187,187,-1,187,187,1
600,1,3,1,56,3,48,505,8,414,680,-1,72,81,3,8,74,4,177,311,3,123,501,1
7600,1,2,1,58,2,263,5407,0,235,5587,0,132,5692,0,136,4523,0,139,4617,0,200,4712,0
2400,2,1,2,27,0,400,1560,0,118,525,0,182,118,-1,798,182,-1,32,769,0,36,753,0
6900,1,2,2,30,0,120,2255,0,120,2325,0,80,2367,0,120,2236,0,120,2147,0,120,2058,0
4800,2,1,2,27,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
9600,1,2,2,36,-1,749,344,-1,26,748,-1,459,26,-1,53,458,-1,0,53,0,53,27,0
2800,2,1,2,30,0,122,2653,0,105,2731,0,121,2767,0,83,2780,0,80,2531,0,72,2297,0
3900,1,2,2,26,0,100,1237,0,80,1287,0,80,1318,0,80,1347,0,180,1377,0,1600,1511,1
3300,1,3,2,25,0,148,3182,0,139,3276,0,132,3049,0,20,3074,0,12,381,0,20,295,1
6700,1,2,1,33,0,80,1918,0,80,1954,0,300,2003,0,88,2268,2,0,2295,2,120,2253,0
9200,2,2,2,24,0,180,3812,0,165,3780,0,140,3726,0,160,3506,0,120,3607,2,120,3474,0
6500,1,3,2,54,0,261,6227,0,266,6295,0,109,6263,0,100,2913,0,92,2673,0,88,2537,0
1100,1,2,1,32,0,70,1125,0,80,1113,0,48,1160,0,40,1179,0,0,1180,0,60,0,0
2300,2,3,2,31,0,84,2366,0,120,2344,0,120,2361,0,240,2369,0,160,1064,0,40,1189,0
9900,2,1,2,43,-1,695,187,-1,163,641,-1,241,163,-1,636,224,-1,40,636,0,237,398,0
5100,1,3,2,39,1,0,2841,2,240,2773,2,0,2967,2,240,2895,2,0,3089,2,240,3033,0
3300,1,1,2,29,0,120,3073,0,56,2982,0,13,1749,0,70,652,-1,0,70,0,1563,19,0
5600,2,1,2,26,0,381,1902,0,0,2225,3,76,2167,2,0,2184,2,85,2125,0,97,2176,1
14500,1,1,2,36,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,6,0,-1,2,6,0
400,2,3,2,46,1,146,277,2,0,411,3,0,399,2,13,373,0,13,380,0,23,368,1
7700,1,2,1,33,0,200,3953,0,214,4087,0,40,4209,0,0,716,0,0,-4,-2,0,-19,1
800,2,2,2,38,0,80,763,0,80,814,0,80,727,0,200,661,0,40,761,0,240,652,0
17600,1,1,2,34,-1,0,45,2,52,14,-1,0,32,2,111,7,-1,0,106,3,0,88,1
4100,1,1,2,29,2,80,1329,2,0,1375,2,63,1342,0,116,1370,0,60,1463,2,64,1494,1
900,2,3,1,37,0,45,288,0,80,271,0,103,296,0,24,343,0,0,313,2,40,254,0
8100,1,1,2,30,3,0,45,2,0,23,2,22,0,-1,22,22,-1,0,22,0,0,22,1
3900,2,3,1,51,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
3900,1,2,2,40,2,156,4280,0,69,3950,0,40,1284,0,46,752,0,400,398,-1,0,400,1
1700,2,3,1,38,0,151,1375,0,56,1503,2,0,1523,2,123,1486,2,64,1585,2,0,1617,1
6000,2,1,2,28,0,231,5523,0,244,5621,0,1200,5549,0,769,5220,0,0,5914,2,104,5821,0
7300,2,2,1,30,1,0,835,4,0,807,3,0,579,2,0,138,2,0,0,-2,0,0,0
6000,2,1,2,34,2,0,2213,2,100,2154,0,80,2148,0,72,1952,0,80,1997,0,80,2044,1
1300,2,3,1,53,0,48,427,0,49,456,0,52,497,0,20,540,0,24,551,0,116,566,1
4800,1,1,1,52,-1,16,16,-1,16,16,-1,75,16,-1,0,75,0,37,16,-1,0,37,1
2400,2,3,1,47,0,80,1355,0,64,1412,0,80,1441,0,54,1497,0,68,1515,0,40,1558,0
400,1,3,2,38,0,48,259,0,58,296,0,32,337,0,0,363,2,13,351,0,36,358,1
11100,1,2,1,55,0,68,11125,0,60,1701,0,56,1276,0,80,854,0,80,460,-1,116,80,1
7200,1,1,2,37,-2,18,0,-2,7,18,-2,0,7,-2,0,0,-2,0,0,-2,22,0,0
