Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status,Repay_Status_sum,Previous_Payment_Prior_sum,Statement_sum
9600,1,3,3,32,6,110,138,5,2847,5298,11,1692,1892,7,331,1080,12,535,1671,3,4800,6799,1,44,10315,16878
14400,2,3,2,30,-2,0,132,-2,0,0,-2,0,0,-2,0,0,-2,45,0,-2,136,45,0,-12,181,177
8100,1,1,2,29,-1,133,7,-1,1700,132,-1,0,1541,-1,751,-4,-1,498,747,-1,381,496,0,-6,3463,2919
2700,2,2,1,31,0,104,2891,0,140,2864,0,120,2898,0,40,2842,0,60,1187,0,19,1153,0,0,483,13835
14500,2,2,1,37,-2,309,403,-2,94,309,-2,381,94,-2,362,381,-2,0,362,-2,116,0,0,-12,1262,1549
1300,2,2,3,18,4,120,1055,1,23,286,9,110,1288,6,274,816,-1,0,4,11,147,770,0,30,674,4219
8300,2,2,2,33,0,200,1850,0,200,2019,0,200,2161,0,180,2324,0,200,2465,0,200,2623,0,0,1180,13442
6400,1,1,2,30,-1,0,129,-1,150,-21,-1,0,120,0,0,29,0,36,0,-1,0,36,0,-4,186,293
3600,2,2,1,38,0,140,3699,0,133,3628,0,84,3229,0,102,2792,0,120,2555,0,3730,1605,1,0,4309,17508
6300,1,2,1,66,2,624,2513,9,1001,1407,2,69,457,8,1165,1695,2,3317,5518,11,3303,3400,0,34,9479,14990
8000,2,2,2,28,0,120,2478,0,120,2533,0,120,2588,0,100,2641,0,105,2673,0,108,2736,0,0,673,15649
3300,2,1,2,30,0,78,1469,0,147,1523,0,52,1632,2,0,1430,2,60,1307,0,48,1304,0,4,385,8665
9500,2,1,1,39,2,0,100,2,0,100,2,0,100,2,0,0,-2,0,0,-2,0,0,1,4,0,300
16800,1,1,2,35,0,602,16523,0,643,16561,0,506,16683,0,2028,13934,0,801,11486,0,405,10449,0,0,4985,85636
6400,1,1,2,29,-1,0,22,-1,28,-3,-1,0,25,-1,26,0,-1,0,13,0,0,13,0,-5,54,70
11600,2,1,2,28,-1,435,1285,-1,211,433,-2,1303,210,-1,1166,1292,-1,72,1140,-1,455,72,0,-7,3642,4432
17200,2,2,1,30,-2,0,-612,-2,5830,-1334,-1,0,3830,2,100,3115,0,81,2507,0,80,1951,0,-3,6091,9457
2100,2,3,1,23,2,81,1992,0,82,2026,0,81,1671,0,41,683,0,56,376,-1,760,42,1,1,1101,6790
2300,2,2,1,49,2,112,2408,0,104,2430,0,84,2434,0,40,2356,0,40,774,0,28,781,1,2,408,11183
5900,1,2,2,26,0,240,5380,0,280,5524,0,88,3570,0,1940,1987,0,144,3881,0,140,3969,0,0,2832,24311
15600,2,1,2,32,0,121,306,0,80,340,0,260,164,0,80,334,0,40,304,0,40,321,0,0,621,1769
